year_month,question_count,mean_score,mean_comments
2020-01,146664,1.1283682430589648,2.212983417880325
2020-02,145116,1.0530058711651369,2.1709942390914856
2020-03,155969,0.9750399117773404,2.0833050157403075
2020-04,182923,0.9364869371265505,1.992576111259929
2020-05,186478,0.936475080170315,1.9811559540535613
2020-06,171916,0.9744526396612299,2.0062530538169803
2020-07,166050,0.9555133995784403,2.029051490514905
2020-08,148365,0.9177771037643649,2.046587807097361
2020-09,141792,0.9242905100428798,2.0402067817648386
2020-10,141825,0.9269804336329984,1.9650343733474351
2020-11,134956,0.939958208601322,1.973524704348084
2020-12,133924,0.9042964666527284,2.0245960395448166
2021-01,139893,0.8571837046885834,2.023260634913827
2021-02,131702,0.8495239252251294,1.9878665472050538
2021-03,148783,0.8350819650094433,2.0209566953213742
2021-04,135901,0.8039308025695175,2.035224170535905
2021-05,133832,0.7930091457947277,2.041671648036344
2021-06,129018,0.7933466648064611,2.0173619184919933
2021-07,124017,0.7852794374964722,2.049718990138449
2021-08,122117,0.8028939459698485,2.069957499774806
2021-09,119803,0.8173918850112267,2.072953098002554
2021-10,118925,0.7720412024385117,2.057632961950809
2021-11,119170,0.8074767139380716,2.0990433834018627
2021-12,112194,0.8709200135479616,2.082366258445193
2022-01,119354,0.8446637733130017,2.0677229083231397
2022-02,114030,0.7999123037797071,1.9722441462772955
2022-03,123495,0.7490667638365925,1.962929673266124
2022-04,114260,0.729284088920007,1.9501925433222476
2022-05,116224,0.712434609030837,1.9882554377753303
2022-06,111534,0.6649990137536536,1.9888285186579877
2022-07,110932,0.6146828687844805,1.9941135109796992
2022-08,112951,0.5955768430558384,1.9981850536958503
2022-09,103845,0.5247243487890606,1.993962155135057
2022-10,106223,0.516413582745733,1.973960441712247
2022-11,109579,0.5165314521943073,1.9632593836410261
2022-12,96623,0.5802862672448589,1.9447543545532637
2023-01,97020,0.5690373118944547,2.025128839414554
2023-02,85868,0.5509502958028603,1.9721665812642661
2023-03,87369,0.602868294246243,1.9770742483031738
2023-04,68631,0.6104238609374772,2.0068773586280253
2023-05,66612,0.6071428571428571,2.0687263556116013
2023-06,63733,0.5846264886322627,2.0706855161376367
2023-07,62855,0.5567257974703683,2.087041603691035
2023-08,60190,0.5489948496427978,2.1323475660408704
2023-09,52839,0.5465281326293079,2.158197543481141
2023-10,52428,0.49982833600366217,2.1368925001907377
2023-11,50367,0.5344967935354498,2.161792443464967
2023-12,42416,0.5171869105997736,2.1545878913617504
2024-01,47701,0.4965933628225823,2.1906249344877464
2024-02,46057,0.48359641314023927,2.15287578435417
2024-03,44803,0.462535990893467,2.1883802423944827
2024-04,42473,0.4406564170178702,2.203282085089351
2024-05,40158,0.49429752477713035,2.198988993475771
2024-06,32014,0.5140563503467233,2.2981195726869497
2024-07,31500,0.42987301587301585,2.2104126984126986
2024-08,27863,0.44424505616767757,2.2474249004055555
2024-09,24793,0.5208728270076232,2.2914935667325453
2024-10,23221,0.5131992592911588,2.273890013349985
2024-11,20846,0.5344430586203588,2.257651347980428
2024-12,17971,0.5745923988648378,2.197039675031996
2025-01,18238,0.5740212742625288,2.3645136528128083
2025-02,15565,0.5867009315772567,2.218374558303887
2025-03,15129,0.5624958688611277,2.266904620265715
2025-04,12349,0.602639889869625,2.2348368288930276
2025-05,11549,0.5651571564637631,2.0573209801714434
2025-06,9197,0.6208546265086441,2.213004240513211
2025-07,7751,0.7085537350019352,2.2611275964391693
2025-08,5837,0.7969847524413226,2.285077951002227
2025-09,6062,0.7609699769053118,2.2255031342791156
2025-10,5320,0.8368421052631579,2.263157894736842
2025-11,4270,0.8224824355971897,2.2772833723653396
2025-12,3340,1.0221556886227545,2.3649700598802395
2026-01,2967,0.9177620492079541,2.3734411863835523
2026-02,2315,1.0505399568034557,2.380561555075594
2026-03,2033,0.7442203639940974,2.4185932120019675
