year_month,API Change,API Usage,Architectural Consensus,Conceptual,Discrepancy,Errors,Learning,Machine-Authored Discrepancy,Review,API Change_fraction,API Usage_fraction,Architectural Consensus_fraction,Conceptual_fraction,Discrepancy_fraction,Errors_fraction,Learning_fraction,Machine-Authored Discrepancy_fraction,Review_fraction
2020-01,64,2159,119,323,722,1107,139,10,43,0.01365770379854887,0.460734101579172,0.025394793000426803,0.06892872385830132,0.15407597097737943,0.23623559539052497,0.029662825437473325,0.002134016218523261,0.00917626973965002
2020-02,75,2113,133,353,707,1115,131,8,51,0.016005121638924456,0.450917626973965,0.028382415706359368,0.0753307725138711,0.15087494664959453,0.23794280836534357,0.027955612462654718,0.0017072129748186087,0.01088348271446863
2020-03,78,2121,120,336,728,1138,117,10,38,0.016645326504481434,0.4526248399487836,0.02560819462227913,0.07170294494238157,0.1553563807084934,0.24285104566794707,0.02496798975672215,0.002134016218523261,0.00810926163038839
2020-04,64,2158,137,337,708,1094,141,5,42,0.01365770379854887,0.4605206999573197,0.02923602219376867,0.07191634656423389,0.15108834827144688,0.23346137430644473,0.030089628681177975,0.0010670081092616305,0.008962868117797696
2020-05,60,2109,126,344,762,1073,157,5,50,0.012804097311139564,0.4500640204865557,0.026888604353393086,0.07341015791720017,0.16261203585147246,0.2289799402475459,0.0335040546308152,0.0010670081092616305,0.010670081092616303
2020-06,68,2100,135,346,725,1130,138,4,40,0.014511310285958173,0.44814340588988477,0.02880921895006402,0.07383696116090482,0.1547161758429364,0.24114383269312847,0.029449423815621,0.0008536064874093043,0.008536064874093044
2020-07,79,2149,122,325,729,1075,144,5,58,0.01685872812633376,0.4586000853606487,0.026034997865983782,0.06935552710200597,0.1555697823303457,0.22940674349125054,0.030729833546734954,0.0010670081092616305,0.012377294067434912
2020-08,71,2134,130,336,738,1088,135,10,44,0.015151515151515152,0.45539906103286387,0.02774221084080239,0.07170294494238157,0.15749039692701663,0.23218096457533077,0.02880921895006402,0.002134016218523261,0.009389671361502348
2020-09,71,2179,121,324,734,1059,133,9,56,0.015151515151515152,0.46500213401621854,0.025821596244131457,0.06914212548015365,0.15663679043960735,0.2259923175416133,0.028382415706359368,0.0019206145966709346,0.01195049082373026
2020-10,62,2136,120,307,807,1054,142,6,52,0.013230900554844216,0.4558258642765685,0.02560819462227913,0.0655142979086641,0.17221510883482716,0.22492530943235167,0.030303030303030304,0.0012804097311139564,0.011096884336320957
2020-11,79,2076,113,353,725,1163,130,10,37,0.01685872812633376,0.44302176696542894,0.024114383269312846,0.0753307725138711,0.1547161758429364,0.24818608621425522,0.02774221084080239,0.002134016218523261,0.007895860008536065
2020-12,64,2160,128,329,729,1080,142,8,46,0.01365770379854887,0.46094750320102434,0.02731540759709774,0.07020913358941527,0.1555697823303457,0.23047375160051217,0.030303030303030304,0.0017072129748186087,0.009816474605207
2021-01,75,2087,158,329,779,1075,127,10,46,0.016005121638924456,0.4453691848058045,0.03371745625266752,0.07020913358941527,0.16623986342296201,0.22940674349125054,0.02710200597524541,0.002134016218523261,0.009816474605207
2021-02,79,2099,118,329,723,1136,152,9,41,0.01685872812633376,0.4479300042680324,0.025181391378574478,0.07020913358941527,0.15428937259923176,0.24242424242424243,0.03243704652155356,0.0019206145966709346,0.008749466495945369
2021-03,66,2145,111,321,727,1137,129,5,45,0.014084507042253521,0.45774647887323944,0.023687580025608196,0.06850192061459667,0.15514297908664107,0.24263764404609475,0.027528809218950064,0.0010670081092616305,0.009603072983354673
2021-04,53,2220,121,344,688,1089,120,7,44,0.011310285958173282,0.4737516005121639,0.025821596244131457,0.07341015791720017,0.14682031583440033,0.2323943661971831,0.02560819462227913,0.0014938113529662826,0.009389671361502348
2021-05,60,2126,118,318,735,1152,126,4,47,0.012804097311139564,0.45369184805804524,0.025181391378574478,0.0678617157490397,0.15685019206145967,0.24583866837387963,0.026888604353393086,0.0008536064874093043,0.010029876227059326
2021-06,84,2069,132,300,793,1108,141,8,51,0.01792573623559539,0.44152795561246266,0.028169014084507043,0.06402048655569782,0.16922748612889457,0.2364489970123773,0.030089628681177975,0.0017072129748186087,0.01088348271446863
2021-07,71,2100,122,344,711,1153,135,8,42,0.015151515151515152,0.44814340588988477,0.026034997865983782,0.07341015791720017,0.15172855313700384,0.24605206999573198,0.02880921895006402,0.0017072129748186087,0.008962868117797696
2021-08,70,2100,115,284,735,1185,135,8,54,0.014938113529662825,0.44814340588988477,0.0245411865130175,0.06060606060606061,0.15685019206145967,0.2528809218950064,0.02880921895006402,0.0017072129748186087,0.011523687580025609
2021-09,75,2138,116,318,762,1077,141,9,50,0.016005121638924456,0.45625266752027316,0.024754588134869825,0.0678617157490397,0.16261203585147246,0.22983354673495518,0.030089628681177975,0.0019206145966709346,0.010670081092616303
