domain,pre_mean,post_mean,pct_change_mean,pre_total,post_total
AI / ML,21722.470588235294,5325.585365853659,-75.48351903978201,738564,218349
Fast-Moving Web,25228.617647058825,6315.926829268293,-74.96522830689216,857773,258953
Legacy Stable,26814.764705882353,7144.219512195122,-73.35714263930164,911702,292913
Other,59298.294117647056,18235.048780487807,-69.248611529516,2016142,747637
